Type,Episode,Total_Episodes,Env_ID,Env_Reward,Total_Reward,Alignment_Bonus,Compliance,Fixes,Steps
episode,1,,0,-1094.10,-1068.10,26.00,0.8667,15.0,100
episode,1,,1,-180.80,-156.25,24.55,0.8182,11.0,100
episode,1,,2,-976.80,-946.80,30.00,1.0000,15.0,100
episode,1,,3,-1135.30,-1135.30,0.00,0.0000,2.0,100
episode,1,,4,-1132.60,-1109.52,23.08,0.7692,13.0,100
episode,1,,5,-1140.70,-1124.03,16.67,0.5556,9.0,100
episode,1,,6,-1090.70,-1065.70,25.00,0.8333,12.0,100
episode,1,,7,-1142.80,-1120.98,21.82,0.7273,11.0,100
episode,1,,8,-1141.80,-1120.80,21.00,0.7000,10.0,100
episode,1,,9,-1032.50,-1002.50,30.00,1.0000,11.0,100
episode,1,,10,-1142.70,-1122.70,20.00,0.6667,9.0,100
episode,1,,11,-1143.80,-1123.80,20.00,0.6667,9.0,100
episode,1,,12,-1011.80,-985.80,26.00,0.8667,15.0,100
episode,1,,13,-731.20,-717.87,13.33,0.4444,9.0,100
episode,1,,14,-174.80,-147.11,27.69,0.9231,13.0,100
episode,1,,15,-837.70,-815.88,21.82,0.7273,11.0,100
episode,1,,16,-1142.80,-1124.80,18.00,0.6000,15.0,100
episode,1,,17,-110.50,-83.23,27.27,0.9091,11.0,100
episode,1,,18,-1086.80,-1063.23,23.57,0.7857,14.0,100
episode,1,,19,-1086.70,-1056.70,30.00,1.0000,12.0,100
episode,1,,20,-1133.80,-1106.80,27.00,0.9000,10.0,100
episode,1,,21,-888.80,-861.11,27.69,0.9231,13.0,100
episode,1,,22,-1126.80,-1099.11,27.69,0.9231,13.0,100
episode,1,,23,-1069.90,-1045.35,24.55,0.8182,11.0,100
episode,1,,24,-1133.80,-1112.37,21.43,0.7143,7.0,100
summary,,25,,-955.60,-932.63,22.97,0.7655,11.24,
episode,2,,0,-1200.00,-1170.00,30.00,1.0000,13.0,100
episode,2,,1,-685.00,-685.00,0.00,0.0000,3.0,100
episode,2,,2,-200.00,-172.00,28.00,0.9333,15.0,100
episode,2,,3,-1300.00,-1277.50,22.50,0.7500,8.0,100
episode,2,,4,-1303.00,-1284.25,18.75,0.6250,16.0,100
episode,2,,5,-1312.00,-1287.00,25.00,0.8333,12.0,100
episode,2,,6,-1202.00,-1178.43,23.57,0.7857,14.0,100
episode,2,,7,-1313.00,-1298.00,15.00,0.5000,8.0,100
episode,2,,8,-1310.00,-1283.33,26.67,0.8889,9.0,100
episode,2,,9,-1227.00,-1205.00,22.00,0.7333,15.0,100
episode,2,,10,-1304.00,-1286.00,18.00,0.6000,10.0,100
episode,2,,11,-1313.00,-1313.00,0.00,0.0000,8.0,100
episode,2,,12,-958.50,-928.50,30.00,1.0000,11.0,100
episode,2,,13,-764.00,-739.00,25.00,0.8333,6.0,100
episode,2,,14,-214.00,-190.43,23.57,0.7857,14.0,100
episode,2,,15,-1310.00,-1286.00,24.00,0.8000,10.0,100
episode,2,,16,-1256.00,-1234.57,21.43,0.7143,14.0,100
episode,2,,17,-212.00,-188.00,24.00,0.8000,15.0,100
